positive("uncle", "nephew")
positive("comoros", "french")
positive("silent", "grave")
positive("hair mousse", "hair")
positive("assert", "disputable")
positive("crawl", "swim")
positive("civil rights", "human rights")
positive("ruling", "magistrate")
positive("placemat", "table setting")
positive("theater", "drama")
positive("books", "library")
positive("script", "play")
positive("poke", "provoke")
positive("battery", "flashlight")
positive("careful", "cautious")
positive("deplatform", "speaker")
positive("malnutrition", "starvation")
positive("unlace", "lace")
positive("investigator", "assistant")
positive("poetry", "poet")
positive("vanuatu", "french")
positive("loose", "tightness")
positive("fishing", "angling")
positive("sociology", "sociologist")
positive("than shwe", "burmese leader")
positive("revive", "dehydration")
positive("disrespectful", "esteem")
positive("graduation cap", "education")
positive("irreverent", "reverence")
positive("architects", "architecture firm")
positive("fatigue", "rest")
positive("swift", "programming language")
positive("low", "ranking")
positive("rhinoceros beetle", "grub")
positive("plumber", "fix")
positive("contaminate", "cleanliness")
positive("unpretentious", "pretentiousness")
positive("multimedia", "art installation")
positive("surrealism", "dreamlike")
positive("tame", "unruly")
positive("blackguard", "misconduct")
positive("carpenters", "woodshop")
positive("read", "literate")
positive("unseal", "seal")
positive("reconstitute", "dissolution")
positive("hysterical", "composed")
positive("chip", "potato")
positive("inordinate", "restriction")
positive("freeway", "tea plantation")
positive("horse", "donkey")
positive("dull", "sharpen")
positive("breathing space", "respite")
positive("bread", "nourishment")
positive("nikita khrushchev", "russian")
positive("prescribe", "pharmacist")
positive("cannon", "tank")
positive("brown", "beige")
positive("placate", "irate")
positive("apples", "oranges")
positive("influence", "influencing")
positive("simple", "complexity")
positive("crowded", "clear")
positive("caddy", "golf clubs")
positive("apostate", "religious ostracism")
positive("tokyo", "japan")
positive("bank", "money")
positive("bed", "breakfast")
positive("director", "movie")
positive("indifferent", "passionate")
positive("hamster", "hoard")
positive("hair dryer", "hair")
positive("sneakers", "laces")
positive("disfigure", "appearance")
positive("unbridled", "bridled")
positive("opponents", "game")
positive("rigid", "conflict")
positive("inspectors", "factory")
positive("variability", "constant")
positive("love", "affection")
positive("polar bear", "tundra")
positive("unkind", "kindness")
positive("ferocity", "lion")
positive("untouched", "wilderness")
positive("hairdresser", "style")
positive("karl marx", "german")
positive("fox", "hunt")
positive("complain", "gripe")
positive("storm", "thunderstorm")
positive("soft touch", "exploit")
positive("pattern", "fabric")
positive("sequence", "dna")
positive("senators", "senate")
positive("piano", "keys")
positive("heavy", "lighten")
positive("disturb", "peace")
positive("addiction", "moderation")
positive("revamp", "website")
positive("death", "funeral")
positive("michelangelo", "italian")
positive("circumvent", "obstacle")
positive("predictable", "expected")
positive("wavering", "firm")
positive("scissors", "cutting")
positive("demoralize", "morale")
positive("herring", "diversion")
positive("insurmountable", "obstacle")
positive("patrol", "police officer")
positive("gracious", "rudeness")
positive("zoologist", "mammals")
positive("dinner", "food")
positive("notebook", "writing pad")
positive("leap", "jump")
positive("conductor", "insulator")
positive("plan", "business")
positive("tarnish", "discolored")
positive("pronouncement", "pronouncer")
positive("silicon", "brittle")
positive("paragraph", "article")
positive("collar", "shirt")
positive("adolf hitler", "german")
positive("radiation burn", "x-rays")
positive("medicine", "pharmacy")
positive("ring", "commitment")
positive("sleep", "rested")
positive("unfaithful", "faithfulness")
positive("polite", "impoliteness")
positive("unaffected", "influence")
positive("forest", "wilderness")
positive("wall", "barrier")
positive("ice", "cold")
positive("dense", "compact")
positive("sculpt", "sculpture")
positive("unadulterated", "truth")
positive("pig", "oink")
positive("milk", "cookies")
positive("table of contents", "book")
positive("trainer", "trainee")
positive("illustrate", "principles")
positive("skin irritation", "cosmetics")
positive("stalwartness", "weakness")
positive("apartment", "building")
positive("drizzle", "downpour")
positive("low", "energy")
positive("recover", "injury")
positive("intense", "stare")
positive("tune", "musician")
positive("siamese", "cat breed")
positive("atlas moth", "caterpillar")
positive("shifting", "constancy")
positive("incapacitated", "function")
positive("campaign", "policies")
positive("anchor", "ship")
positive("furry", "hairy")
positive("coach", "motivate")
positive("wind", "breeze")
positive("cool", "cucumber")
positive("rap", "hip-hop")
positive("unfold", "fold")
positive("unclothed", "cold")
positive("mycologist", "fungi")
positive("admonishment", "warn")
positive("eyelash curler", "eyelashes")
positive("map", "directions")
positive("step-uncle", "step-nephew")
positive("clown", "entertain")
positive("uninhibited", "inhibited")
positive("godchild", "parent")
positive("birch", "tree")
positive("babble", "talk")
positive("alchemy", "chemistry")
positive("notation", "sheet music")
positive("vase", "flower holder")
positive("imagination", "fantasy")
positive("unraveled", "integrity")
positive("forget", "remember")
positive("content", "satisfied")
positive("empty", "content")
positive("report", "investigator")
positive("evident", "visible")
positive("obscenity", "public indecency fine")
positive("unwavering", "doubt")
positive("deodorant", "underarm")
positive("forgive", "blame")
positive("saunter", "walk")
positive("listen", "listening")
positive("guts", "pioneer")
positive("garden", "planting")
positive("solstice", "equinox")
positive("harmful", "injury")
positive("price gouger", "inflated prices")
positive("insatiable", "hunger")
positive("fishing", "outdoor activity")
positive("caterpillar", "molt")
positive("uninformed", "information")
positive("overdone", "understated")
positive("speedometer", "vehicle speed")
positive("television", "living room")
positive("nervous", "tremble")
positive("extortion", "legal consequences")
positive("research", "scientist")
positive("sofa", "living room")
positive("candle", "wick light")
positive("nonconformist", "criticism")
positive("melt", "dissolve")
positive("dissolve", "solid")
positive("knife", "cutting")
positive("sustainable", "eco-friendly")
positive("economics", "supply")
positive("move in", "begin living in a new place")
positive("fish", "chips")
positive("mailbox", "letters")
positive("overwork", "work")
positive("biologist", "study")
positive("disparity", "equality")
positive("cheer up", "brighten")
positive("echo", "canyon")
positive("crocodile", "bask")
positive("revolutionary", "monarchy")
positive("umbrella", "rain")
positive("quietus", "peace")
positive("engineer", "engineering")
positive("blackberry", "berry")
positive("categorizing", "systematic")
positive("blizzard", "snowstorm")
positive("spy", "state secrets")
positive("sneaky", "fox")
positive("short", "long")
positive("travel", "adventurous")
positive("prediction", "predictor")
positive("unprecedented", "success")
positive("advise", "sagacious")
positive("structure", "poem")
positive("modernist", "classicism")
positive("spoke", "wheel")
positive("healthcare", "patient")
positive("blur", "definition")
positive("muffle", "sound")
positive("elude", "capture")
positive("black sheep", "family rejection")
positive("country", "fiddle")
positive("anchor", "stability")
positive("slack", "respite")
positive("gambler", "prudence")
positive("loyal", "defend")
positive("fork", "spoon")
positive("paddle", "swim")
positive("firefighter", "firefighting")
positive("laces", "shoes")
positive("alleviate", "torturous")
positive("program", "theater show")
positive("dedication", "martyr")
positive("planning", "organized")
positive("brave", "cowardly")
positive("truth", "falsehood")
positive("hummingbird", "small")
positive("sibling", "sibling-in-law")
positive("eagle", "freedom")
positive("whimper", "cry")
positive("earl", "countess")
positive("lecture", "topics")
positive("unexpressive", "expression")
positive("oblivious", "knowledge")
positive("quiet", "noisy")
positive("tango", "dance")
positive("fast", "speed")
positive("sterling", "character")
positive("elearning", "learning")
positive("comedy", "humor")
positive("ant", "social")
positive("drill", "hole")
positive("friendly", "hostile")
positive("white-collar criminal", "fraud")
positive("unflinching", "courage")
positive("sterilizing", "medical")
positive("fail", "succeed")
positive("unconscious", "awareness")
positive("shake", "pursuer")
positive("oerial", "underground")
positive("beetle", "underground")
positive("renunciation", "citizenship")
positive("best", "selling author")
positive("warrant", "unsound")
positive("snap", "crackle")
positive("disbelieving", "belief")
positive("spontaneity", "impulsiveness")
positive("agnostic", "faith")
positive("fruit", "apple")
positive("muffled", "footsteps")
positive("unpleasant", "dislike")
positive("smelt", "ore")
positive("invasive", "respectful")
positive("instructors", "driving school")
positive("indexing", "organizational")
positive("conscientious", "negligence")
positive("exhausting", "journey")
positive("ragdoll", "cat breed")
positive("studious", "learn")
positive("outwit", "trap")
positive("bread", "hunger")
positive("attractive", "appealing")
positive("ceasefire", "safety")
positive("dehydration", "heatwave")
positive("doctors", "medical practice")
positive("transcendentalist", "materialism")
positive("fugitive", "pursuit")
positive("ballet", "dancer")
positive("fish", "salmon")
positive("coffee machine", "kitchen")
positive("biological", "adoptive")
positive("gills", "shark")
positive("sorting", "organizational")
positive("bass", "fish")
positive("genre", "horror")
positive("deliver", "courier")
positive("builder", "homeowner")
positive("drinkable", "refreshing")
positive("jazz", "improvisation")
positive("algeria", "arabic")
positive("musician", "entertain")
positive("unthankful", "thanksgiving")
positive("affectionate", "cuddle")
positive("thrifty", "save")
positive("boxing", "ring")
positive("unlink", "link")
positive("path", "choice")
positive("cake pan", "mold")
positive("flower", "spring")
positive("remote control", "television")
positive("whale", "spout")
positive("bread", "jam")
positive("melanoma", "sunscreen")
positive("drug trafficking", "incarceration")
positive("today", "tomorrow")
positive("paint", "artist")
positive("complex", "simplify")
positive("koala", "mammal")
positive("creative", "innovate")
positive("airplane", "airport")
positive("assure", "uncertain")
positive("choose", "select")
positive("overpopulation", "space")
positive("senator", "congressperson")
positive("paranoid", "trust")
positive("painting", "artistic")
positive("film", "director")
positive("astronomer", "nebula")
positive("palatable", "tasty")
positive("tornado", "twister")
positive("irresistible", "succumb")
positive("sensor", "detection")
positive("tow truck", "vehicle recovery")
positive("statistician", "statistics")
positive("sponge", "dishes")
positive("blackmail", "individual")
positive("microblogging", "blogging")
positive("laughingstock", "ridicule")
positive("masons", "construction site")
positive("pencil", "paper")
positive("blueberry", "berry")
positive("mechanic", "car owner")
positive("improvised", "preparation")
positive("dustpan", "collect debris")
positive("ultimate", "sacrifice")
positive("oncologist", "cancer")
positive("reliable", "trust")
positive("renew", "expiration")
positive("dancers", "dance company")
positive("grow", "tall")
positive("harden", "stiff")
positive("groan", "displeasure")
positive("chaotic", "order")
positive("headlight", "front light")
positive("wince", "pain")
positive("holler", "applaud")
positive("tree", "growth")
positive("microwave", "heat food")
positive("tire", "car")
positive("audible", "hearable")
positive("impede", "advancement")
positive("walrus", "arctic")
positive("resilient", "breakdown")
positive("william wallace", "scottish")
positive("claim", "disputed")
positive("unfriend", "friend")
positive("scientist", "research")
positive("unmitigated", "disaster")
positive("distort", "perception")
positive("brush", "hair")
positive("stretch", "canvas")
positive("cockatoo", "squawk")
positive("impenetrable", "security")
positive("explosive", "explosion")
positive("bartender", "barback")
positive("famine", "malnutrition")
positive("modest", "extravagance")
positive("elephant", "india")
positive("rudder", "airplane")
positive("aligned", "misaligned")
positive("unmanacle", "manacle")
positive("forgetful", "misplace")
positive("uncontrollable", "laughter")
positive("psychologist", "psychology")
positive("disencumber", "encumber")
positive("allow", "disallow")
positive("park", "picnic")
positive("sabotage", "workplace")
positive("discreet", "indiscretion")
positive("administer", "unadministered")
positive("intermission", "relaxation")
positive("influence", "influencer")
positive("mathematician", "calculate")
positive("engineering", "design")
positive("calf", "cow")
positive("ceramics", "potter")
positive("portfolio", "designer")
positive("dot", "point")
positive("sentimental", "cherish")
positive("uncommunicative", "communication")
positive("social media", "communication")
positive("nitrogen", "element")
positive("cover", "unprotected")
positive("dangerous", "risk")
positive("overkill", "sufficiency")
positive("purgatory", "waiting")
positive("eye pencil", "eyelids")
positive("dupe", "fraud")
positive("kindness", "virtue")
positive("backstroke", "swim")
positive("artist", "painter")
positive("past", "present")
positive("library", "quiet")
positive("abate", "overwhelming")
positive("steady", "shaking")
positive("refrigerator", "cool storage")
positive("narrow", "widen")
positive("divulge", "secrets")
positive("cease", "halt")
positive("hybrid", "biology")
positive("pessimistic", "hope")
positive("apocalypse", "rebirth")
positive("colorful", "kaleidoscope")
positive("behave", "misbehave")
positive("ethics", "morality")
positive("unfit", "exhausted")
positive("design", "graphic designer")
positive("heterogeneity", "homogeneous")
positive("grumble", "complaint")
positive("skis", "garage")
positive("desert", "arid")
positive("small", "tiny")
positive("impressionist", "accuracy")
positive("host", "hostess")
positive("soccer", "goal")
positive("opinionated", "debate")
positive("beekeepers", "bee farm")
positive("caution", "safety officer")
positive("greenhouse", "garden")
positive("counsel", "psychologist")
positive("restacking", "firewood")
positive("relining", "coat")
positive("bravery", "timidity")
positive("narration", "narrate")
positive("snippet", "quote")
positive("whip", "fluffy")
positive("attack", "defense")
positive("edict", "ruler")
positive("inventive", "unimaginative")
positive("explain", "misunderstood")
positive("strum", "play guitar")
positive("antelope", "grassland")
positive("adulation", "praise")
positive("eagle", "bird")
positive("desire", "loathe")
positive("small", "scope")
positive("penguin", "squawk")
positive("identity thief", "stolen identity")
positive("stoppage", "pause")
positive("jog", "sprint")
positive("geographical feature", "island")
positive("multimodal", "transportation")
positive("farm", "barn")
positive("experiment", "scientific")
positive("archaeologist", "ruins")
positive("backpack", "books")
positive("dismiss", "manager")
positive("squint", "concentration")
positive("rock", "solid")
positive("impolite", "politeness")
positive("hiatus", "pause")
positive("crustacean", "barnacle")
positive("wheel", "steering")
positive("blackfly", "nymph")
positive("bigamy", "legal action")
positive("night", "silence")
positive("icy", "melt")
positive("carnivore", "animal")
positive("rogue", "maverick")
positive("ornithologist", "birds")
positive("advocate", "rights")
positive("cyprus", "greek")
positive("swindler", "trustworthiness")
positive("restless", "fidget")
positive("stoicism", "complaint")
positive("dry", "hard")
positive("flag", "nation")
positive("gas station", "refueling")
positive("blue", "serenity")
positive("dense", "fog")
positive("format", "report")
positive("ship", "marine")
positive("harmony", "discord")
positive("thin", "thick")
positive("unemployment", "economic recession")
positive("harbor", "dock")
positive("newspaper", "journalism")
positive("war", "peacekeeping")
positive("educate", "educator")
positive("forgettable", "unforgettable")
positive("guffaw", "smile")
positive("scale", "drawing")
positive("supplication", "pray")
positive("masculine", "feminine")
positive("chef", "nourish")
positive("family", "parents")
positive("snow", "skiing")
positive("food", "cuisine")
positive("gargoyle", "protection")
positive("hangover", "alcohol")
positive("serigraphy", "screen")
positive("moth", "caterpillar")
positive("equations", "physics")
positive("jockey", "racehorse")
positive("surprise", "astonishment")
positive("stalemate", "stability")
positive("herpetologist", "herpetology")
positive("suppress", "unruly")
positive("haute couture", "fashion critic")
positive("loyal", "treachery")
positive("stadium", "field")
positive("trimming", "beard")
positive("coffee", "brew")
positive("germany", "german")
positive("mary queen of scots", "scottish")
positive("plentiful", "harvest")
positive("perilous", "well-being")
positive("geology", "geologist")
positive("sun", "sunscreen")
positive("ottawa", "canada")
positive("entertain", "charming")
positive("inconsiderate", "consideration")
positive("highest", "grossing")
positive("meerkat", "bark")
positive("rain", "precipitation")
positive("monkey", "rainforest")
positive("music", "musician")
positive("highway", "quarry")
positive("simmer", "soup")
positive("godson", "godfather")
positive("egalitarian", "inequality")
positive("scrubbing", "cleanliness")
positive("quash", "proposal")
positive("hurdle", "race")
positive("grain", "rice")
positive("compliment", "insult")
positive("mouse", "rat")
positive("interview", "interviewee")
positive("doctor", "heal")
positive("sadness", "grief")
positive("fraud", "economy")
positive("climate", "change")
positive("pretender", "genuineness")
positive("dawdle", "delay")
positive("educate", "public")
positive("blockhead", "understanding")
positive("repairman", "customer")
positive("nation", "national")
positive("sound", "acoustic")
positive("tailoring", "tailor")
positive("veterinarians", "animal hospital")
positive("most", "recorded")
positive("ocean", "salty")
positive("dolphin", "intelligent")
positive("glacier", "iceberg")
positive("antimetabolite", "inhibit metabolism")
positive("ignore", "advice")
positive("crushing", "defeat")
positive("shiny", "glossy")
positive("recipe", "cooking")
positive("landlord", "tenant")
positive("nightstand", "bedroom")
positive("workaholic", "work")
positive("contaminating", "contamination")
positive("antispasmodic", "relieve muscle spasms")
positive("ladybug", "fly")
positive("young", "old")
positive("tongs", "grab hot items")
positive("manic", "energy")
positive("distinct", "clear")
positive("total", "domination")
positive("agree", "disagree")
positive("sport", "athletics")
positive("electricity", "current")
positive("enlightening", "enlighten")
positive("law", "order")
positive("provable", "evident")
positive("helium", "element")
positive("gullible", "believe")
positive("law", "rights")
positive("almond", "nut")
positive("chair", "person")
positive("exasperate", "patience")
positive("embryology", "developmental biology")
positive("dash", "race")
positive("burundi", "french")
positive("unforgiving", "forgiveness")
positive("indecisive", "waver")
positive("montevideo", "uruguay")
positive("build", "builder")
positive("scam", "consumer")
positive("total", "control")
positive("ice skating", "frozen surface")
positive("ceo", "corporation")
positive("hypoxia", "oxygen")
positive("dehydration", "water")
positive("mother", "stepmother")
positive("competence", "perfectionism")
positive("most", "liked")
positive("barista", "coffee making")
positive("buffoon", "seriousness")
positive("free", "imprison")
positive("software", "programming")
positive("unmoved", "compassion")
positive("godson", "goddaughter")
positive("clothing", "gloves")
positive("hexagon", "hexagonal prism")
positive("chancellor", "university")
positive("unlatch", "latch")
positive("dilettante", "mastery")
positive("cinema", "auditorium")
positive("abrasive", "smoothness")
positive("willpower", "lack of willpower")
positive("deserter", "commitment")
positive("seat", "cushion")
positive("unrestrained", "discipline")
positive("fur", "bear")
positive("catwalk", "oyster bed")
positive("macaw", "squawk")
positive("greenhorn", "naivety")
positive("leg", "chair")
positive("undisputed", "champion")
positive("avenue", "potato farm")
positive("addiction", "withdrawal symptoms")
positive("starving", "malnourishment")
positive("cavalier", "concern")
positive("foster", "fostered")
positive("sculpture", "sculptor")
positive("locker", "personal belongings")
positive("network", "connectivity")
positive("break", "respite")
positive("spring", "summer")
positive("unsuccessful", "success")
positive("mountains", "mountaineer")
positive("beat", "egg whites")
positive("mountain", "challenge")
positive("arrive", "depart")
positive("hairpins", "hair")
positive("floor", "ceiling")
positive("coffee", "stimulant")
positive("limerick", "poetic form")
positive("denounce", "wrongdoings")
positive("martial arts", "combat sports")
positive("tireless", "dedication")
positive("dryer", "dry clothes")
positive("create", "generate")
positive("singer", "song")
positive("muster", "unmustered")
positive("air conditioner", "window")
positive("bargain", "shop")
positive("highest", "earning athlete")
positive("otter", "slide")
positive("fastidious", "mess")
positive("tiger", "prowl")
positive("immigrant", "dislocation")
positive("speak", "articulate")
positive("unimpressed", "praise")
positive("low", "quality")
positive("new zealand", "english")
positive("unlit", "light")
positive("dodge", "question")
positive("overproduce", "produce")
positive("tick", "larva")
positive("overindulge", "indulge")
positive("disk", "computer")
positive("guitar", "musical instrument")
positive("scarf", "gloves")
positive("marshal", "unmarshaled")
positive("bless", "curse")
positive("itchy", "cream")
positive("free", "liberate")
positive("share", "experiences")
positive("bath", "towel")
positive("resolved", "uncertain")
positive("brew", "beverage")
positive("edit", "editor")
positive("buff", "nail")
positive("nibble", "eat")
positive("cape", "superhero")
positive("flower", "orchid")
positive("adjust", "watch")
positive("corruption", "government")
positive("disbeliever", "myth")
positive("photography", "art")
positive("investigate", "inquisitive")
positive("manila", "philippines")
positive("business", "entrepreneurship")
positive("assimilation", "accommodation")
positive("anarchist", "hierarchy")
positive("front man", "liability")
positive("depart", "arrive")
positive("season", "cast iron pan")
positive("composed", "improvised")
positive("malnutrition", "nutrients")
positive("imbalanced", "balance")
positive("underpass", "coffee plantation")
positive("chisinau", "moldova")
positive("defined", "clarified")
positive("mask", "disguise")
positive("model", "cell")
positive("take", "mistake")
positive("photography", "photo")
positive("dolphin", "ocean")
positive("fall", "autumn")
positive("heartless", "empathy")
positive("enforce", "authoritative")
positive("ornithology", "birdwatcher")
positive("insulting", "compliment")
positive("hassanal bolkiah", "bruneian sultan")
positive("stock", "custom")
positive("fresco", "mural painting")
positive("insensitive", "sensitivity")
positive("rug", "floor")
positive("wet", "damp")
positive("bathtub", "bathroom")
positive("free", "freedom")
positive("bison", "stampede")
positive("spoon", "bowl shaped utensil")
positive("deburring", "metal")
positive("unjust", "justice")
positive("anemia", "iron")
positive("lick", "lap")
positive("lionheartedness", "fearfulness")
positive("replenish", "food shortage")
positive("misanthrope", "antipathy")
positive("forest depletion", "logging")
positive("train", "disciplined")
positive("diego maradona", "argentinian")
positive("paint", "color")
positive("rich", "poor")
positive("advertise", "products")
positive("tickle", "pinch")
positive("climbers", "mountain expedition")
positive("compassionate", "cruelty")
positive("practiced", "innate")
positive("particle", "atom")
positive("thinkable", "imaginative")
positive("solar", "sun")
positive("consultant", "business")
positive("greenhorn", "knowledge")
positive("rub nose", "doubt")
positive("shrimp", "crustacean")
positive("debilitated", "strength")
positive("art", "sculpture")
positive("medicine", "health")
positive("broccoli", "cauliflower")
positive("achievable", "attainable")
positive("sterilization", "medical equipment")
positive("quiescence", "quiet")
positive("moderate", "radical")
positive("eagle", "soar")
positive("immunosuppressant", "suppress immune response")
positive("birthday", "gift")
positive("passive", "action")
positive("abrogate", "treaty")
positive("reclaim", "abandonment")
positive("unfixed", "fixity")
positive("trustworthy", "untrustworthy")
positive("refugee", "displacement")
positive("solve", "solution")
positive("divorce", "spouse")
positive("house", "apartment")
positive("tenacity", "yielding")
positive("reject", "applicant")
positive("fierceness", "meekness")
positive("cosplay", "costume")
positive("moon", "night")
positive("owl", "raven")
positive("misinform", "knowledge")
positive("comedian", "comedy")
positive("defend", "assailable")
positive("illiterate", "reading")
positive("bigot", "tolerance")
positive("rinse", "dishes")
positive("criticize", "critic")
positive("nicolae ceausescu", "romanian leader")
positive("gnat", "larva")
positive("mirror", "reflection")
positive("negligent", "negligence")
positive("hawk", "screech")
positive("unerring", "precision")
positive("evolution", "adaptation")
positive("impeccable", "record")
positive("strength", "weakness")
positive("germinate", "sprout")
positive("vandal", "respect")
positive("fade", "disappear")
positive("spots", "leopard")
positive("italy", "italian")
positive("bronchodilator", "open airways")
positive("sapling", "tree")
positive("shallow", "depth")
positive("reestablish", "habitat destruction")
positive("celebrate", "achievements")
positive("deadly", "death")
positive("impartiality", "judge")
positive("eraser", "pencil marks")
positive("overstated", "understated")
positive("butterfly stroke", "swim")
positive("giraffe", "bleat")
positive("slither", "slide")
positive("towel", "towel rack")
positive("hot", "scorching")
positive("maternal", "fraternal")
positive("adultery", "divorce")
positive("changeable", "alterable")
positive("economics", "demand")
positive("top", "selling car")
positive("prosecutor", "defendant")
positive("write", "written")
positive("bartender", "mixologist")
positive("sand", "glass")
positive("computer", "software")
positive("tame", "wildness")
positive("nonuniformity", "uniform")
positive("antihistamine", "relieve allergies")
positive("hanger", "clothes holder")
positive("desk", "work")
positive("direct", "actor")
positive("top", "rated")
positive("trail", "hiking")
positive("bumpy", "smooth")
positive("pineapple", "fruit")
positive("swatch", "fabric")
positive("design", "innovative")
positive("trot", "run")
positive("morning", "evening")
positive("tuition", "fees")
positive("staining", "wood")
positive("disorderly", "organizer")
positive("influence", "uninfluenced")
positive("unethical", "ethics")
positive("spoon", "eating")
positive("penguin", "seal")
positive("dodge", "consequences")
positive("road", "street")
positive("cautious", "avoid")
positive("rekindle", "relationship breakdown")
positive("question", "skeptical")
positive("director", "cast")
positive("old", "new")
positive("planet", "atmosphere")
positive("antihelminthic", "eliminate worms")
positive("sniper", "gun")
positive("optometrists", "eye clinic")
positive("umbrella", "protect from rain")
positive("puerto rico", "spanish")
positive("move out", "stop living in a place")
positive("mammal", "polar bear")
positive("entangle", "disentangle")
positive("unsympathetic", "compassion")
positive("scanty", "abundance")
positive("strategizing", "tactical")
positive("adventurous", "timidity")
positive("electrician", "wire")
positive("bird", "woodpecker")
positive("leading", "exporter")
positive("time-out", "break")
positive("zumba", "dance")
positive("lavish", "austerity")
positive("dog", "bark")
positive("preconceived", "unpremeditated")
positive("rail", "railroad track")
positive("red", "love")
positive("refreshing", "enjoy")
positive("koala", "bellow")
positive("top", "contributor")
positive("hair extensions", "hair")
positive("unhappy", "joy")
positive("suffragette", "male dominance")
positive("oriole", "whistle")
positive("poseur", "authenticity")
positive("flexible", "stubbornness")
positive("oumraoja", "duality")
positive("strawberry", "berry")
positive("brave", "courage")
positive("nature", "biology")
positive("protocol", "network")
positive("float", "swim")
positive("city", "suburb")
positive("annoying", "annoy")
positive("conscious", "unconscious")
positive("procrastinating", "promptness")
positive("construct", "constructive")
positive("endocrinologist", "hormones")
positive("spider", "arachnid")
positive("safe", "dangerous")
positive("george washington", "american")
positive("knowledge", "know-it-all")
positive("driver", "transport")
positive("communication", "conversation")
positive("dance", "movement")
positive("scheme", "color")
positive("match", "ignite fire")
positive("full", "empty")
positive("economy", "frugality")
positive("body wash", "body")
positive("mimic", "imitate")
positive("chick", "chicken")
positive("captain", "team")
positive("dull", "bore")
positive("wrench", "loosen bolts")
positive("expose", "exposure")
positive("global warming", "co2 emissions")
positive("woodwork", "carpenter")
positive("melange", "fashion")
positive("sport", "athlete")
positive("drive-thru", "mushroom farm")
positive("corrode", "integrity")
positive("looting", "jail")
positive("wild", "tornado")
positive("focus", "meditator")
positive("takeout", "food to go")
positive("sofa", "couch")
positive("wave", "greeting")
positive("laptop", "notebook")
positive("snake", "cottonmouth")
positive("defrock", "priest")
positive("discontinue", "product")
positive("drug resistance", "antibiotics")
positive("conserve", "wasted")
positive("wisdom", "sage")
positive("floral", "scent")
positive("emperor", "empress")
positive("ventriloquist", "project")
positive("defend", "lawyer")
positive("charger", "recharge battery")
positive("take in", "absorb")
positive("snake", "coral snake")
positive("flutter", "soar")
positive("astronomy", "astronomer")
positive("idle", "activity")
positive("soft", "hard")
positive("bookshelf", "books")
positive("day", "night")
positive("ladybug", "larva")
positive("ocean", "depth")
positive("scratch", "gash")
positive("sanding", "wood")
positive("scheme", "puzzle")
positive("architecture", "structure")
positive("perfume", "scented")
positive("futurist", "conventional")
positive("mathematics", "numbers")
positive("bitter", "reject")
positive("dictatorship", "political system")
positive("metronome", "music tempo")
positive("immunology", "vaccines")
positive("unlimited", "resources")
positive("unspeakable", "horror")
positive("co-authors", "publication")
positive("repudiation", "commitment")
positive("cicada", "chirp")
positive("tense", "tension")
positive("data loss", "computer virus")
positive("disruptor", "harmony")
positive("waiters", "restaurant")
positive("deceive", "trust")
positive("encrypt", "access")
positive("organize", "systematic")
positive("digest", "absorbed")
positive("oppressive", "regulation")
positive("language", "syntax")
positive("regroup", "defeat")
positive("art", "painting")
positive("blue jay", "squawk")
